"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219684_at",32.6113116279068,372.835446511628,0.685523243977732,0.494876160480218,0.743131308307884,-4.5998250443726
"205381_at",-108.977023255813,2153.65520930233,-0.685290219517852,0.49502242532131,0.743274249229367,-4.59982785058102
"211913_s_at",-50.4294418604653,648.499,-0.685265310073039,0.495038061877352,0.743274249229367,-4.59982815049902
"221222_s_at",48.8205209302325,554.816481395349,0.684508649484185,0.495513172954854,0.743915877885175,-4.59983725586138
"206570_s_at",-44.0738418604651,376.912374418605,-0.684478400803581,0.495532171406438,0.743915877885175,-4.59983761965779
"207917_at",22.5809372093023,255.875452325581,0.684346602806291,0.495614955103009,0.743957470291518,-4.59983920458927
"208274_at",-76.8302093023251,1078.25475581395,-0.684327984273685,0.495626650203186,0.743957470291518,-4.59983942846161
"211783_s_at",63.8105581395346,1148.55055813953,0.684171493842946,0.495724954491574,0.744054907782281,-4.59984130989311
"220393_at",-51.2451395348835,687.853151162791,-0.684089403906527,0.495776526050943,0.744082193708707,-4.59984229666432
"215360_at",40.144688372093,396.900230232558,0.684010705808057,0.495825969483803,0.744085898757628,-4.5998432425548
"213778_x_at",19.7581162790697,208.370311627907,0.683979175375079,0.495845779771666,0.744085898757628,-4.59984362149644
"202811_at",58.7599767441866,1104.70068604651,0.683865961333729,0.495916914679997,0.744094658883616,-4.59984498199384
"202151_s_at",-35.2419023255815,300.361497674419,-0.683863592347974,0.495918403225803,0.744094658883616,-4.59984501045968
"211638_at",-11.9524255813954,128.24251744186,-0.683646620047331,0.496054747473453,0.744201242023314,-4.59984761719938
"214252_s_at",51.5392186046518,633.34683255814,0.683644255664024,0.496056233351536,0.744201242023314,-4.599847645601
"217490_at",-49.5128837209301,479.704348837209,-0.683293038082208,0.49627698011728,0.744414285949499,-4.59985186345533
"201341_at",83.6512325581397,1054.97524418605,0.683181145460486,0.496347317904191,0.744414285949499,-4.59985320675466
"209906_at",-47.9332093023257,637.553930232558,-0.683131792706286,0.496378343684612,0.744414285949499,-4.5998537991786
"213747_at",-4.71296046511629,48.6040453488372,-0.683041512766407,0.496435101206257,0.744414285949499,-4.59985488277871
"220193_at",-55.7121162790698,1041.6125,-0.682991071181173,0.496466814539513,0.744414285949499,-4.59985548815128
"215919_s_at",-13.4952627906977,177.115591860465,-0.682983665375584,0.496471470766082,0.744414285949499,-4.59985557702806
"209636_at",-4.02859534883721,46.6653418604651,-0.682969594300096,0.496480317690062,0.744414285949499,-4.59985574589189
"217887_s_at",-81.1530697674418,1079.75976744186,-0.682921197625726,0.496510746841676,0.744414285949499,-4.59985632666356
"205795_at",6.13713255813954,98.8944453488372,0.682842916557912,0.496559967789,0.744414285949499,-4.59985726596986
"216766_at",-33.7995023255813,399.502804651163,-0.682780139763052,0.496599441995772,0.744414285949499,-4.59985801916194
"206395_at",31.2112790697675,408.059941860465,0.682757961819735,0.496613387949399,0.744414285949499,-4.59985828523533
"207877_s_at",-6.96115116279069,123.409422093023,-0.682725593021181,0.496633742506874,0.744414285949499,-4.59985867355534
"209886_s_at",17.4366744186047,251.281755813953,0.682680506071299,0.496662095407517,0.744414285949499,-4.59985921442169
"218294_s_at",-64.0317209302323,1094.51418604651,-0.682666623022795,0.496670825930843,0.744414285949499,-4.5998593809567
"214477_at",-5.33444325581394,33.9100588372093,-0.682621266617105,0.496699349436662,0.744414285949499,-4.59985992500936
"201262_s_at",-18.3114139534885,281.356562790698,-0.682351732240047,0.496868871175757,0.744572784846166,-4.5998631573599
"205659_at",-52.6940697674418,617.908476744186,-0.682346862520998,0.496871934239666,0.744572784846166,-4.59986321574779
"212455_at",139.238674418606,2301.94461627907,0.68228662641978,0.496909823725621,0.744579490422838,-4.59986393794439
"203226_s_at",-85.1684186046509,1530.46011627907,-0.682180107125017,0.496976829927426,0.744588202075981,-4.59986521489746
"206033_s_at",51.4467209302328,758.531104651163,0.682171145029767,0.496982467777053,0.744588202075981,-4.59986532232614
"211388_s_at",-54.8777441860465,960.202151162791,-0.681902487247462,0.49715149036023,0.744748617607078,-4.59986854208717
"215063_x_at",61.8303488372098,1000.08412790698,0.68189471091662,0.497156383202678,0.744748617607078,-4.59986863526505
"216510_x_at",14.5565232558139,103.303643023256,0.681840704264227,0.497190364735573,0.744749455324198,-4.59986928235714
"216958_s_at",-11.6692046511628,125.237988372093,-0.681753352077551,0.497245330281863,0.744781723107531,-4.59987032887965
"216984_x_at",-40.797558139535,535.8155,-0.681596766562713,0.497343868496581,0.744879245981268,-4.59987220452336
"216471_x_at",-83.3400465116279,782.182069767442,-0.681350182250619,0.497499063805892,0.745020771379246,-4.59987515735387
"218071_s_at",-27.1870837209302,269.7524,-0.681314769579788,0.497521353998322,0.745020771379246,-4.59987558133236
"215959_at",46.2083023255813,921.447569767442,0.681287266092966,0.497538666198203,0.745020771379246,-4.59987591060322
"222151_s_at",-55.084511627907,1120.1256744186,-0.681217495401981,0.497582585154035,0.74503646989567,-4.5998767458373
"214747_at",-25.0214093023258,242.470820930233,-0.681123253548144,0.497641911447514,0.745075234346902,-4.599877873886
"202572_s_at",-32.8821395348838,614.466860465116,-0.681003715440863,0.49771716752652,0.745090854727464,-4.59987930450408
"203315_at",110.023395348837,1781.80723255814,0.680943665937914,0.497754974451271,0.745090854727464,-4.59988002307679
"218599_at",-87.770418604651,1208.82765116279,-0.680862930373534,0.497805807688621,0.745090854727464,-4.5998809890882
"218778_x_at",-15.4028930232559,175.819411627907,-0.68086079082636,0.497807154842109,0.745090854727464,-4.59988101468663
"212729_at",51.4810697674417,709.703604651163,0.680841132618111,0.497819532611519,0.745090854727464,-4.59988124988194
"221813_at",81.379558139535,669.187825581395,0.6806539960998,0.497937371263027,0.745217169981465,-4.59988348849333
"205154_at",-9.10310232558142,130.649009302326,-0.680477198063508,0.498048713715654,0.745333746657214,-4.59988560287792
